"Package","Version"
"askpass","1.2.0"
"backports","1.4.1"
"base","4.3.2"
"base64enc","0.1-3"
"bit","4.0.5"
"bit64","4.0.5"
"blob","1.2.4"
"boot","1.3-28.1"
"brew","1.0-10"
"brio","1.1.5"
"broom","1.0.5"
"bslib","0.7.0"
"cachem","1.0.8"
"callr","3.7.6"
"cellranger","1.1.0"
"class","7.3-22"
"cli","3.6.2"
"clipr","0.8.0"
"cluster","2.1.4"
"codetools","0.2-19"
"colorspace","2.1-0"
"commonmark","1.9.1"
"compiler","4.3.2"
"conflicted","1.2.0"
"cpp11","0.4.7"
"crayon","1.5.2"
"credentials","2.0.1"
"curl","5.2.1"
"data.table","1.15.4"
"datasets","4.3.2"
"DBI","1.2.2"
"dbplyr","2.5.0"
"desc","1.4.3"
"devtools","2.4.5"
"diffobj","0.3.5"
"digest","0.6.35"
"downlit","0.4.3"
"dplyr","1.1.4"
"dtplyr","1.3.1"
"ellipsis","0.3.2"
"evaluate","0.23"
"fansi","1.0.6"
"farver","2.1.2"
"fastmap","1.1.1"
"fontawesome","0.5.2"
"forcats","1.0.0"
"foreign","0.8-85"
"fs","1.6.4"
"gargle","1.5.2"
"generics","0.1.3"
"gert","2.0.1"
"ggplot2","3.5.1"
"gh","1.4.1"
"git2r","0.33.0"
"gitcreds","0.1.2"
"glue","1.7.0"
"googledrive","2.1.1"
"googlesheets4","1.1.1"
"graphics","4.3.2"
"grDevices","4.3.2"
"grid","4.3.2"
"gtable","0.3.5"
"haven","2.5.4"
"highr","0.10"
"hms","1.1.3"
"htmltools","0.5.8.1"
"htmlwidgets","1.6.4"
"httpuv","1.6.15"
"httr","1.4.7"
"httr2","1.0.1"
"ids","1.0.1"
"ini","0.3.1"
"isoband","0.2.7"
"jquerylib","0.1.4"
"jsonlite","1.8.8"
"KernSmooth","2.23-22"
"knitr","1.46"
"labeling","0.4.3"
"later","1.3.2"
"lattice","0.21-9"
"lifecycle","1.0.4"
"logger","0.3.0"
"lubridate","1.9.3"
"magrittr","2.0.3"
"MASS","7.3-60"
"Matrix","1.6-1.1"
"memoise","2.0.1"
"methods","4.3.2"
"mgcv","1.9-0"
"mime","0.12"
"miniUI","0.1.1.1"
"modelr","0.1.11"
"munsell","0.5.1"
"nlme","3.1-163"
"nnet","7.3-19"
"openssl","2.1.2"
"parallel","4.3.2"
"pillar","1.9.0"
"pkgbuild","1.4.4"
"pkgconfig","2.0.3"
"pkgdown","2.0.9"
"pkgload","1.3.4"
"praise","1.0.0"
"prettyunits","1.2.0"
"processx","3.8.4"
"profvis","0.3.8"
"progress","1.2.3"
"promises","1.3.0"
"ps","1.7.6"
"purrr","1.0.2"
"R6","2.5.1"
"ragg","1.3.1"
"rappdirs","0.3.3"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.12"
"readr","2.1.5"
"readxl","1.4.3"
"rematch","2.0.0"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.1.0"
"rlang","1.1.3"
"rmarkdown","2.26"
"roxygen2","7.3.1"
"rpart","4.1.21"
"rprojroot","2.0.4"
"rstudioapi","0.16.0"
"rversions","2.1.2"
"rvest","1.0.4"
"sass","0.4.9"
"scales","1.3.0"
"selectr","0.4-2"
"sessioninfo","1.2.2"
"shiny","1.8.1.1"
"sourcetools","0.1.7-1"
"spatial","7.3-17"
"splines","4.3.2"
"stats","4.3.2"
"stats4","4.3.2"
"stringi","1.8.4"
"stringr","1.5.1"
"survival","3.5-7"
"sys","3.4.2"
"systemfonts","1.0.6"
"tcltk","4.3.2"
"testthat","3.2.1.1"
"textshaping","0.3.7"
"tibble","3.2.1"
"tidyr","1.3.1"
"tidyselect","1.2.1"
"tidyverse","2.0.0"
"timechange","0.3.0"
"tinytex","0.51"
"tools","4.3.2"
"translations","4.3.2"
"tzdb","0.4.0"
"urlchecker","1.0.1"
"usethis","2.2.3"
"utf8","1.2.4"
"utils","4.3.2"
"uuid","1.2-0"
"vctrs","0.6.5"
"viridisLite","0.4.2"
"vroom","1.6.5"
"waldo","0.5.2"
"whisker","0.4.1"
"withr","3.0.0"
"xfun","0.43"
"xml2","1.3.6"
"xopen","1.0.1"
"xtable","1.8-4"
"yaml","2.3.8"
"zip","2.3.1"
